LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_HomeImp,REASON_nan,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,JOB_nan,y
1100.0,25860.0,39025.0,10.5,0.0,0.0,94.366666667,1.0,9.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1300.0,70053.0,68400.0,7.0,0.0,2.0,121.83333333,0.0,14.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1500.0,13500.0,16700.0,4.0,0.0,0.0,149.46666667,1.0,10.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1500.0,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1700.0,97800.0,112000.0,3.0,0.0,0.0,93.333333333,0.0,14.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1700.0,30548.0,40320.0,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558000004,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1800.0,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1800.0,28502.0,43034.0,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2000.0,32700.0,46740.0,3.0,0.0,2.0,216.93333333,1.0,12.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2000.0,,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2000.0,22608.0,,18.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2000.0,20627.0,29800.0,11.0,0.0,1.0,122.53333333,1.0,9.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,45000.0,55000.0,3.0,0.0,0.0,86.066666667,2.0,25.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2000.0,64536.0,87400.0,2.5,0.0,0.0,147.13333333,0.0,24.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100.0,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2200.0,24280.0,34687.0,,0.0,1.0,300.86666667,0.0,8.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2200.0,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2200.0,23030.0,,19.0,,,,,,3.7113122995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2300.0,28192.0,40150.0,4.5,0.0,0.0,54.6,1.0,16.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2300.0,102370.0,120953.0,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2300.0,37626.0,46200.0,3.0,0.0,1.0,122.26666667,1.0,14.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2400.0,50000.0,73395.0,5.0,1.0,0.0,,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2400.0,28000.0,40800.0,12.0,0.0,0.0,67.2,2.0,22.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2400.0,18000.0,,22.0,,2.0,121.73333333,0.0,10.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2400.0,,17180.0,,0.0,0.0,14.566666667,3.0,4.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2400.0,34863.0,47471.0,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2400.0,98449.0,117195.0,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2500.0,15000.0,20200.0,18.0,0.0,0.0,136.06666667,1.0,19.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2500.0,25116.0,36350.0,10.0,1.0,2.0,276.96666667,0.0,9.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2500.0,7229.0,44516.0,,0.0,0.0,208.0,0.0,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
