Model,Dataset,Repetition,Time [s],MSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC AUC
dropout,1,1,215.24837923049927,28.49510383605957,4.154783725738525,0.39422393416957824,nan,nan,nan,nan,nan
dropout,1,2,218.1067976951599,29.47262954711914,4.240599155426025,0.30609864807592324,nan,nan,nan,nan,nan
dropout,1,3,122.43513607978821,24.959976196289062,3.796767234802246,0.3962681118728001,nan,nan,nan,nan,nan
dropout,1,4,301.25928139686584,21.06688117980957,3.538116693496704,0.4926900305700541,nan,nan,nan,nan,nan
dropout,1,5,338.94067215919495,24.066360473632812,3.756455898284912,0.5218374099516343,nan,nan,nan,nan,nan
dropout,2,1,23.433736085891724,nan,nan,nan,0.7038745387453874,0.696969696969697,0.7214022140221402,0.7089755213055305,0.7038745387453875
dropout,2,2,12.175048589706421,nan,nan,nan,0.7084870848708487,0.706959706959707,0.7121771217712177,0.7095588235294118,0.7084870848708488
dropout,2,3,21.25207233428955,nan,nan,nan,0.7297047970479705,0.728440366972477,0.7324723247232472,0.7304507819687212,0.7297047970479703
dropout,2,4,22.635573625564575,nan,nan,nan,0.7204797047970479,0.7217068645640075,0.7177121771217713,0.719703977798335,0.7204797047970479
dropout,2,5,22.73122763633728,nan,nan,nan,0.6992619926199262,0.6963636363636364,0.7066420664206642,0.7014652014652015,0.6992619926199263
dropout,3,1,21.901054859161377,nan,nan,nan,0.6803770351328192,0.6804123711340206,0.6792452830188679,0.6798283261802575,0.680376066166968
dropout,3,2,5.373883485794067,nan,nan,nan,0.6872322193658955,0.6972972972972973,0.6626712328767124,0.6795434591747146,0.6872532836767782
dropout,3,3,24.64959144592285,nan,nan,nan,0.6786632390745502,0.6811091854419411,0.672945205479452,0.6770025839793282,0.6786681430484739
dropout,3,4,24.947506427764893,nan,nan,nan,0.7086546700942588,0.7226277372262774,0.678082191780822,0.6996466431095407,0.7086808900585071
dropout,3,5,11.666034936904907,nan,nan,nan,0.7035132819194516,0.7032590051457976,0.7032590051457976,0.7032590051457976,0.7035130642167344
dropout,4,1,405.41689467430115,nan,nan,nan,0.8177613320999075,0.9225037257824144,0.8102094240837696,0.8627177700348433,0.8230857845970899
dropout,4,2,697.7482771873474,nan,nan,nan,0.7909343200740055,0.8577127659574468,0.8442408376963351,0.8509234828496043,0.7533507027598394
dropout,4,3,174.27501463890076,nan,nan,nan,0.7992599444958371,0.8846694796061885,0.8232984293193717,0.8528813559322034,0.7823116752275092
dropout,4,4,1019.8963403701782,nan,nan,nan,0.8066604995374653,0.9039301310043668,0.81282722513089,0.855961405926947,0.8023126661932052
dropout,4,5,655.4995510578156,nan,nan,nan,0.820536540240518,0.9083094555873925,0.8298429319371727,0.8673050615595075,0.8139750937288387
dropout,5,1,164.66518688201904,0.599017322063446,0.6012906432151794,0.22889600738951144,nan,nan,nan,nan,nan
dropout,5,2,122.68509817123413,0.5911032557487488,0.6053107976913452,0.18741818832306734,nan,nan,nan,nan,nan
dropout,5,3,252.83367085456848,0.6172285079956055,0.6065599918365479,0.25109540724283985,nan,nan,nan,nan,nan
dropout,5,4,113.48099064826965,0.5317617654800415,0.5833075642585754,0.2746020736799837,nan,nan,nan,nan,nan
dropout,5,5,121.75410032272339,0.5163461565971375,0.561619758605957,0.2933861608234648,nan,nan,nan,nan,nan
forest,1,1,0.785480260848999,22.062491790864343,3.6537549321217306,0.5309745707528708,nan,nan,nan,nan,nan
