Model,Dataset,Repetition,Time [s],MSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC AUC
dropout,1,1,124.01355266571045,25.820823669433594,3.9230620861053467,0.4510763532655129,nan,nan,nan,nan,nan
dropout,1,2,119.16001963615417,24.632646560668945,3.810537099838257,0.42005082715249875,nan,nan,nan,nan,nan
dropout,1,3,480.6863753795624,17.937646865844727,3.254622459411621,0.5661241876239174,nan,nan,nan,nan,nan
dropout,1,4,185.4661900997162,19.09516143798828,3.3621366024017334,0.5401709110720586,nan,nan,nan,nan,nan
dropout,1,5,117.49311327934265,20.78882598876953,3.4698522090911865,0.586957136954174,nan,nan,nan,nan,nan
dropout,2,1,12.079925060272217,nan,nan,nan,0.7158671586715867,0.710431654676259,0.7287822878228782,0.7194899817850638,0.7158671586715867
dropout,2,2,12.009016752243042,nan,nan,nan,0.6937269372693727,0.6909090909090909,0.7011070110701108,0.6959706959706959,0.6937269372693727
dropout,2,3,11.69718599319458,nan,nan,nan,0.7370848708487084,0.7315315315315315,0.7490774907749077,0.7402005469462168,0.7370848708487084
dropout,2,4,11.666500806808472,nan,nan,nan,0.731549815498155,0.7354596622889306,0.7232472324723247,0.7293023255813953,0.731549815498155
dropout,2,5,11.768412590026855,nan,nan,nan,0.7103321033210332,0.7057761732851986,0.7214022140221402,0.7135036496350367,0.7103321033210332
dropout,3,1,5.150094270706177,nan,nan,nan,0.6940874035989717,0.6941580756013745,0.692967409948542,0.6935622317596567,0.6940864447002985
dropout,3,2,5.506620407104492,nan,nan,nan,0.6700942587832048,0.6786355475763016,0.6472602739726028,0.6625766871165644,0.6701138419605723
dropout,3,3,5.19537878036499,nan,nan,nan,0.6863753213367609,0.6892361111111112,0.6797945205479452,0.6844827586206896,0.6863809652482437
dropout,3,4,5.965457916259766,nan,nan,nan,0.6966580976863753,0.698961937716263,0.6917808219178082,0.6953528399311533,0.6966622805986982
dropout,3,5,6.457864046096802,nan,nan,nan,0.7095115681233933,0.715547703180212,0.6946826758147513,0.7049608355091384,0.709498872153951
dropout,4,1,234.2259964942932,nan,nan,nan,0.8260869565217391,0.9298507462686567,0.8154450261780105,0.8688981868898187,0.8335900209754405
dropout,4,2,263.9171676635742,nan,nan,nan,0.8242368177613321,0.9147398843930635,0.8285340314136126,0.8695054945054945,0.8212070787982889
dropout,4,3,226.8428122997284,nan,nan,nan,0.7918593894542091,0.9204368174726989,0.7722513089005235,0.8398576512455516,0.8056840140717129
dropout,4,4,459.8817181587219,nan,nan,nan,0.81313598519889,0.9181547619047619,0.8075916230366492,0.8593314763231197,0.8170450228747915
dropout,4,5,676.5281550884247,nan,nan,nan,0.8288621646623496,0.9071729957805907,0.8442408376963351,0.8745762711864408,0.8180194724759278
dropout,5,1,478.8677775859833,0.543707013130188,0.5668663382530212,0.3000958960829234,nan,nan,nan,nan,nan
dropout,5,2,424.8332567214966,0.5377982258796692,0.5750049948692322,0.2606958798564889,nan,nan,nan,nan,nan
dropout,5,3,289.1286087036133,0.5749229788780212,0.5865737795829773,0.3024261439527888,nan,nan,nan,nan,nan
dropout,5,4,516.5419673919678,0.5094209313392639,0.559066891670227,0.30507812482902696,nan,nan,nan,nan,nan
dropout,5,5,305.2140634059906,0.498128741979599,0.5531160831451416,0.318316497427539,nan,nan,nan,nan,nan
forest,1,1,0.7420778274536133,20.517633144468324,3.6252585875605363,0.5638166448313783,nan,nan,nan,nan,nan
forest,1,2,0.7558498382568359,18.56590788198288,3.4796522081443184,0.5628856725224034,nan,nan,nan,nan,nan
forest,1,3,0.7412350177764893,18.44831342573902,3.4880749275234635,0.5537722013580365,nan,nan,nan,nan,nan
forest,1,4,0.7500121593475342,18.889350254180933,3.4484701492047436,0.5451269729745407,nan,nan,nan,nan,nan
forest,1,5,0.7528736591339111,22.54035043920711,3.828644831590803,0.5521569524380201,nan,nan,nan,nan,nan
forest,2,1,9.855469465255737,nan,nan,nan,0.7204797047970479,0.7284894837476099,0.7029520295202952,0.7154929577464789,0.720479704797048
forest,2,2,10.101039409637451,nan,nan,nan,0.6928044280442804,0.7029126213592233,0.6678966789667896,0.684957426679281,0.6928044280442804
forest,2,3,10.011354207992554,nan,nan,nan,0.727859778597786,0.7416829745596869,0.6992619926199262,0.7198480531813866,0.727859778597786
forest,2,4,9.998120307922363,nan,nan,nan,0.716789667896679,0.7494692144373672,0.6512915129151291,0.696939782823297,0.716789667896679
forest,2,5,9.95666790008545,nan,nan,nan,0.7195571955719557,0.7270992366412213,0.7029520295202952,0.7148217636022514,0.7195571955719557
forest,3,1,8.244263410568237,nan,nan,nan,0.7163667523564696,0.7825112107623319,0.5986277873070326,0.6783284742468416,0.7162659484480368
forest,3,2,8.458030939102173,nan,nan,nan,0.7197943444730077,0.7967667436489607,0.5907534246575342,0.6784660766961652,0.7199050142155596
forest,3,3,8.358641147613525,nan,nan,nan,0.7060839760068551,0.7580299785867237,0.6061643835616438,0.6736441484300665,0.7061696703399987
forest,3,4,8.303085088729858,nan,nan,nan,0.715509854327335,0.7889908256880734,0.589041095890411,0.6745098039215687,0.7156183180995794
forest,3,5,8.775555610656738,nan,nan,nan,0.7249357326478149,0.8104265402843602,0.5866209262435678,0.6805970149253732,0.7248173124368523
forest,4,1,1.3796992301940918,nan,nan,nan,0.81313598519889,0.8649350649350649,0.8717277486910995,0.8683181225554106,0.7718260194559599
forest,4,2,1.3558869361877441,nan,nan,nan,0.8075855689176689,0.8638743455497382,0.8638743455497382,0.8638743455497382,0.7678993178852792
forest,4,3,1.3691058158874512,nan,nan,nan,0.8020351526364478,0.8489847715736041,0.8756544502617801,0.8621134020618558,0.7501300642476093
forest,4,4,1.3955519199371338,nan,nan,nan,0.81313598519889,0.8611825192802056,0.8769633507853403,0.8690012970168612,0.768134672238096
forest,4,5,1.3440017700195312,nan,nan,nan,0.8251618871415356,0.8545006165228114,0.9070680628272252,0.88,0.7674141575965778
forest,5,1,1.9167935848236084,0.5561524957226728,0.5967735982825807,0.2840750936354075,nan,nan,nan,nan,nan
forest,5,2,1.9176795482635498,0.5348513006371564,0.5859926685726077,0.2647470144677285,nan,nan,nan,nan,nan
forest,5,3,1.9394757747650146,0.6026573074756717,0.6209422497764546,0.26877520028352886,nan,nan,nan,nan,nan
forest,5,4,1.9229722023010254,0.511077893020851,0.5798653369941891,0.3028177667599732,nan,nan,nan,nan,nan
forest,5,5,1.9392213821411133,0.5261537158889673,0.581286112087657,0.27996461375634374,nan,nan,nan,nan,nan
mlp,1,1,82.5827465057373,23.116247177124023,3.758324384689331,0.5085728131023388,nan,nan,nan,nan,nan
mlp,1,2,79.03242421150208,23.287763595581055,3.759230375289917,0.4517146761753781,nan,nan,nan,nan,nan
mlp,1,3,80.41699576377869,21.51259994506836,3.696244478225708,0.47965322786905906,nan,nan,nan,nan,nan
